time,level,message,callsite,User
2022-01-08 14:09:44.9160,Info,Applicatino Starting,CustomTemplateAPI.Program.Main,
2022-01-08 14:39:21.1385,Error,Format of the initialization string does not conform to specification starting at index 0.,CustomTemplateAPI.Middlewares.GlobalExceptionMiddleware.InvokeAsync,
2022-01-08 14:41:09.0375,Info,Applicatino Starting,CustomTemplateAPI.Program.Main,
2022-01-08 14:45:55.4895,Error,Format of the initialization string does not conform to specification starting at index 0.,CustomTemplateAPI.Middlewares.GlobalExceptionMiddleware.InvokeAsync,
2022-01-08 14:47:09.2019,Error,Format of the initialization string does not conform to specification starting at index 0.,CustomTemplateAPI.Middlewares.GlobalExceptionMiddleware.InvokeAsync,
2022-01-08 14:47:48.8421,Error,Format of the initialization string does not conform to specification starting at index 0.,CustomTemplateAPI.Middlewares.GlobalExceptionMiddleware.InvokeAsync,
2022-01-08 14:48:58.3540,Info,Applicatino Starting,CustomTemplateAPI.Program.Main,
2022-01-08 14:50:51.2418,Info,Applicatino Starting,CustomTemplateAPI.Program.Main,
2022-01-08 14:56:44.5632,Info,Applicatino Starting,CustomTemplateAPI.Program.Main,
2022-01-08 14:57:36.6285,Info,Applicatino Starting,CustomTemplateAPI.Program.Main,
2022-01-08 19:05:54.5582,Info,Applicatino Starting,CustomTemplateAPI.Program.Main,
2022-01-08 19:35:56.8624,Info,Applicatino Starting,CustomTemplateAPI.Program.Main,
2022-01-08 19:36:59.6227,Info,Applicatino Starting,CustomTemplateAPI.Program.Main,
2022-01-08 19:40:18.8428,Info,Applicatino Starting,CustomTemplateAPI.Program.Main,
2022-01-08 23:00:10.8074,Info,Applicatino Starting,CustomTemplateAPI.Program.Main,
2022-01-08 23:04:05.8229,Info,Applicatino Starting,CustomTemplateAPI.Program.Main,
2022-01-08 23:05:18.8365,Info,Applicatino Starting,CustomTemplateAPI.Program.Main,
2022-01-08 23:13:33.9161,Info,Applicatino Starting,CustomTemplateAPI.Program.Main,
